species,mtdna.length,cds.count.ncbi,trna.count.ncbi,rrna.count.ncbi,sum
Pallisentis celatus,13855,12,22,2,36
Corythucha ciliata,15257,13,22,2,37
Meretrix lyrata,21625,13,26,2,41
Thymallus grubii,16662,13,22,2,37
Hemiculter leucisculus,16617,13,22,2,37
Gobiobotia intermedia,16608,13,22,2,37
Caranx ignobilis,16588,13,22,2,37
Sarcocheilichthys lacustris,16683,13,22,2,37
Cherax quadricarinatus,15869,13,22,2,37
Cherax glaber,15806,13,22,2,37
Monotrete leiurus,16448,13,22,2,37
Garra rufa,16763,13,22,2,37
Labeo chrysophekadion,16602,13,22,2,37
Labeo pierrei,16766,13,22,2,37
Garra spilota,16822,13,22,2,37
Labeo angra,16606,13,22,2,37
Osteochilus nashii,16605,13,22,2,37
Labiobarbus ocellatus,16596,13,22,2,37
Schismatorhynchos nukta,16606,13,22,2,37
Labeo cyclorhynchus,16610,13,22,2,37
Henicorhynchus lineatus,16825,13,22,2,37
Osteochilus schlegelii,16575,13,22,2,37
Thynnichthys polylepis,16599,13,22,2,37
Garra flavatra,16743,13,22,2,37
Labiobarbus leptocheilus,16593,13,22,2,37
Labiobarbus lineatus,16598,13,22,2,37
Labeo lineatus,16606,13,22,2,37
Sepia aculeata,16219,13,22,2,37
Beauveria pseudobassiana,28006,15,25,3,43
Annulohypoxylon stygium,133782,56,26,2,84
Salvia miltiorrhiza,499236,138,22,5,165
Metagonimus yokogawai,15258,12,23,2,37
Acremonium chrysogenum,27266,17,26,2,45
Bursaphelenchus xylophilus,14778,12,22,2,36
Babylonia areolata,15445,13,22,2,37
Lycaena phlaeas,15280,13,22,2,37
Curetis bulis,15162,13,22,2,37
Petaurista hainana,16502,13,22,2,37
Paramphistomum cervi,14014,12,22,2,36
Hypodontus macropi,13634,12,22,2,36
Macropicola ocydromi,13659,12,22,2,36
Acheilognathus chankaensis,16774,13,22,2,37
Zacco platypus,16611,13,22,2,37
Mystacoleucus marginatus,16611,13,22,2,37
Potamotrygon motoro,17448,13,22,2,37
Mythimna separata,15332,13,22,2,37
Pteropus alecto,16739,13,22,2,37
Marphysa sanguinea,15159,13,22,2,37
Pleurogrammus azonus,16591,13,22,2,37
Mustela kathiah,16552,13,22,2,37
Saimiri oerstedii citrinellus,16472,13,22,2,37
Carposina sasakii,15611,13,22,2,37
Leptobelus gazella,16007,13,22,2,37
Cyclemys tcheponensis,16593,13,22,2,37
Hemibagrus spilopterus,16521,13,22,2,37
Cynoglossus sinicus,16478,13,22,2,37
Zebrias quagga,17045,13,22,2,37
Cynoglossus bilineatus,16454,13,22,2,37
Paraplagusia bilineata,16985,13,22,2,37
Paraplagusia blochii,16611,13,22,2,37
Cynoglossus puncticeps,17142,13,22,2,37
Cyclocheilichthys enoplos,16579,13,22,2,37
Epiophlebia superstes,15435,13,22,2,37
Uropsilus soricipes,16575,13,22,2,37
Solenaia carinata,16716,14,22,2,38
Ophiacantha linea,15845,13,22,2,37
Nacospatangus altus,15763,13,22,2,37
Cistopus taiwanicus,15793,13,22,2,37
Protostrongylus rufescens,13619,12,22,2,36
Meriones unguiculatus,16351,13,22,2,37
Sebastes koreanus,16499,13,22,2,37
Cetorhinus maximus,16670,13,22,2,37
Plesiomyzon baotingensis,16541,13,22,2,37
Esox reichertii,16909,13,22,2,37
Polypterus palmas buettikoferi,16624,13,22,2,37
Mus musculus domesticus,16300,13,22,2,37
Vestalis melania,16685,13,22,2,37
Argynnis hyperbius,15156,13,22,2,37
Apatura ilia,15242,13,22,2,37
Liriomyza bryoniae,16183,13,22,2,37
Liriomyza huidobrensis,16236,13,22,2,37
Taeniura meyeni,17638,13,22,2,37
Coilia mystus,17143,13,22,2,37
Liobagrus kingi,16483,13,22,2,37
Luciobarbus capito,16603,13,22,2,37
Tachysurus ussuriensis,16536,13,22,2,37
Oxyurichthys formosanus,16584,13,22,2,37
Acentrogobius chlorostigmatoides,17098,13,22,2,37
Dolycoris baccarum,16549,13,22,2,37
Ammodytes hexapterus,16527,13,22,2,37
Sarcocheilichthys nigripinnis,16680,13,22,2,37
Carcharhinus obscurus,16706,13,22,2,37
Mystus rhegma,16525,13,22,2,37
Ctenomys leucodon,16216,13,22,2,37
Mesocentrotus nudus,15709,13,22,2,37
Cupido argiades,15330,13,22,2,37
Sphinx morio,15299,13,22,2,37
Schizothorax oconnori,16590,13,22,2,37
Epinephelus fasciatomaculosus,16682,13,22,2,37
Undaria pinnatifida,37402,38,24,3,65
Epinephelus latifasciatus,16389,13,22,2,37
Epinephelus areolatus,16893,13,22,2,37
Chaeturichthys stigmatias,18562,13,22,2,37
Hippocampus trimaculatus,16535,13,22,2,37
Liobagrus marginatoides,16498,13,22,2,37
Hebomoia glaucippe,15701,13,22,2,37
Johnius grypotus,18523,13,22,2,37
Hydatigera parva,13482,12,22,2,36
Hydatigera krepkogorski,13792,12,22,2,36
Prasinoderma coloniale,54546,34,36,4,74
Vaccinium macrocarpon,459678,33,18,3,54
Versteria mustelae,13582,12,22,2,36
Liriodendron tulipifera,553721,42,21,3,66
Chikila fulleri,16198,13,22,2,37
Melanitis leda,15122,13,22,2,37
Paraplagusia japonica,16694,13,22,2,37
Lamprotula tortuosa,15722,13,22,2,37
Protobothrops mucrosquamatus,17234,13,22,2,37
Ancherythroculter nigrocauda,16623,13,22,2,37
Amata formosae,15463,13,22,2,37
Sogatella furcifera,16612,13,22,2,37
Anodontostoma chacunda,16772,13,22,2,37
Proechimys longicaudatus,16816,13,22,2,37
Heptranchias perlo,18909,13,22,2,37
Epinephelus sexfasciatus,16786,13,22,2,37
Garra orientalis,17288,13,22,2,37
Novumbra hubbsi,16567,13,22,2,37
Zebrias zebra,16758,13,22,2,37
Umbra pygmaea,16513,13,22,2,37
Octostigma sinensis,15122,13,22,2,37
Parajapyx emeryanus,15268,13,22,2,37
Occasjapyx japonicus,15746,13,22,2,37
Lepidocampa weberi,14360,13,0,0,13
Diuraphis noxia,15784,13,22,2,37
Polytomella magna,24370,7,2,24,33
Botrylloides nigrum,14427,13,24,2,39
Aplysina cauliformis,19620,14,25,2,41
Rhipicephalus microplus,14905,13,22,2,37
Squalidus argentatus,16607,13,22,2,37
Necturus beyeri,16284,13,22,2,37
Proteus anguinus,16584,13,22,2,37
Scleronephthya gracillimum,18950,14,1,2,17
Lamprotula leaii,16530,13,22,2,37
Rattus niobe,16298,13,22,2,37
Rhipicephalus australis,14891,13,22,2,37
Rhipicephalus geigyi,14948,13,22,2,37
Mugilogobius abei,16483,13,22,2,37
Glyphis garricki,16702,13,22,2,37
Rapisma xizangense,15961,13,22,2,37
Rapisma zayuanum,15984,13,22,2,37
Semisulcospira libertina,15432,13,22,2,37
Schizothorax labiatus,16582,13,22,2,37
Schizothorax progastus,16575,13,22,2,37
Pteronotus parnellii,16564,13,22,2,37
Argas lagenoplastis,14478,13,22,2,37
Otobius megnini,14430,13,22,2,37
Argas miniatus,14416,13,22,2,37
Ornithodoros rostratus,14452,13,22,2,37
Ornithodoros brasiliensis,14489,13,22,2,37
Eubasilissa regina,15021,13,22,2,37
Acrossocheilus fasciatus,16589,13,22,2,37
Hemisus marmoratus,20093,13,22,2,37
Trichobatrachus robustus,21418,13,22,2,37
Neochauliodes bowringi,16064,13,22,2,37
Cynoglossus itinus,16915,13,22,2,37
Colistium nudipinnis,16588,13,22,2,37
Peltorhamphus novaezeelandiae,16889,13,22,2,37
Cryptocellus narino,14554,13,22,2,37
Pseudocellus gertschi,14477,13,22,2,37
Ricinoides karschii,14614,13,22,2,37
Sebastes inermis,16504,13,22,2,37
Capricornis milneedwardsii,16444,13,22,2,37
Decapterus macrosoma,16545,13,22,2,37
Vulpes zerda,16683,13,22,2,37
Heterotilapia buettikoferi,16577,13,22,2,37
Paracymoriza distinctalis,15354,13,22,2,37
Sinocyclocheilus anophthalmus,16574,13,22,2,37
Conus consors,16112,13,22,2,37
Microphysogobio tafangensis,16605,13,22,2,37
Acanthacorydalis orientalis,15753,13,22,2,37
Pampus argenteus,17098,13,23,2,38
Orinhippus tibetanus,15611,13,22,2,37
Boleophthalmus boddarti,16727,13,22,2,37
Ranina ranina,15557,13,22,2,37
Pleurogrammus monopterygius,16575,13,22,2,37
Cherax robustus,15703,13,22,2,37
Cherax quinquecarinatus,15810,13,22,2,37
Cherax dispar,15675,13,22,2,37
Cherax cairnsensis,15600,13,22,2,37
Cherax preissii,15809,13,22,2,37
Tenualosa ilisha,16821,13,22,2,37
Microthrissa congica,16735,13,22,2,37
Clupeichthys aesarnensis,16729,13,22,2,37
Clupeoides sp. Chao Phraya,16639,13,22,2,37
Mauremys japonica,16443,13,22,2,37
Tegula brunnea,17690,13,22,2,37
Periplaneta americana,15584,13,22,2,37
Echinotriton andersoni,16268,13,22,2,37
Tylototriton verrucosus,17100,13,23,2,38
Amoya chusanensis,16486,13,22,2,37
Leptobrachella oshanensis,17747,13,22,2,37
Dendronephthya castanea,18907,14,1,2,17
Costaria costata,37461,38,25,3,66
Strongylocentrotus intermedius,15700,13,22,2,37
Pseudocentrotus depressus,15729,13,22,2,37
Heliocidaris crassispina,15702,13,22,2,37
Aleuroglyphus ovatus,14328,13,22,2,37
Lophura swinhoii,16693,13,22,2,37
Ratufa bicolor,16563,13,22,2,37
Abbottina rivularis,16597,13,22,2,37
Parazacco spilurus,16612,13,22,2,37
Hynobius maoershanensis,16412,13,22,2,37
Megaselia scalaris,15599,13,22,2,37
Macaca assamensis,16542,13,22,2,37
Adelphocoris fasciaticollis,15434,13,22,2,37
Metzia mesembrinum,16611,13,22,2,37
Onychostoma macrolepis,16595,13,22,2,37
Paramisgurnus dabryanus,16570,13,22,2,37
Thamnaconus tessellatus,16437,13,22,2,37
Lamprotula gottschei,15915,13,22,2,37
Gracilaria salicornia,25272,25,20,2,47
Hypsibius dujardini,15169,13,23,2,38
Mauremys annamensis,16844,13,22,2,37
Rhodeus suigensis,16733,13,22,2,37
Pseudopungtungia tenuicorpus,16590,13,22,2,37
Gobiobotia macrocephala,16610,13,22,2,37
Podoces hendersoni,16867,13,22,2,37
Microphysogobio koreensis,16606,13,22,2,37
Acheilognathus somjinensis,16569,13,22,2,37
Cyprinus carpio wuyuanensis x Carassius auratus,16580,13,22,2,37
Pseudolaubuca engraulis,16612,13,22,2,37
Hemitrygon akajei,17658,13,22,2,37
Hydra sinensis,16189,13,2,2,17
Gymnocypris dobula,16720,13,22,2,37
Gymnocypris namensis,16674,13,22,2,37
Schizopygopsis thermalis,16676,13,22,2,37
Amphiascoides atopus,13831,13,22,2,37
Lepomis cyanellus,16485,13,22,2,37
Synodus variegatus,16448,13,22,2,37
Opistognathus jacksoniensis,16550,13,22,2,37
Acomys cahirinus,16217,13,22,2,37
Acheilognathus macropterus,16774,13,22,2,37
Chrysemys picta bellii,16875,13,22,2,37
Orcinus orca,16386,13,22,2,37
Pseudorhombus cinnamoneus,16599,13,22,2,37
Tapirus indicus,16717,13,22,2,37
Alepes kleinii,16571,13,22,2,37
Urogymnus granulatus,17657,13,22,2,37
Vieja melanura,16543,13,22,2,37
Mustelus griseus,16754,13,22,2,37
Rana dybowskii,18864,13,22,2,37
Thitarodes pui,15064,13,22,2,37
Tsukubamonas globosa,48463,52,26,3,81
Anser cygnoides,16739,13,22,2,37
Huso dauricus,16691,13,22,2,37
Toxascaris leonina,14310,12,22,2,36
Caecilia tentaculata,16297,13,22,2,37
Caecilia gracilis,16209,13,22,2,37
Chthonerpeton indistinctum,17215,13,22,2,37
Grandisonia sechellensis,16094,13,22,2,37
Ichthyophis bombayensis,16100,13,22,2,37
Indotyphlus maharashtraensis,16167,13,22,2,37
Luetkenotyphlus brasiliensis,16271,13,22,2,37
Microcaecilia dermatophaga,16085,13,22,2,37
Microcaecilia unicolor,16007,13,22,2,37
Potomotyphlus kaupii,17035,13,22,2,37
Praslinia cooperi,16192,13,22,2,37
Schistometopum gregorii,16038,13,22,2,37
Uraeotyphlus gansi,16101,13,22,2,37
Carcharias taurus,16773,13,22,2,37
Carcharhinus sorrah,16707,13,22,2,37
Carcharhinus leucas,16704,13,22,2,37
Iwatanemertes piperata,16382,13,22,2,37
Rana cf. chensinensis QYCRCCH_C,18808,13,22,2,37
Schizothorax plagiostomus,16576,13,22,2,37
Sarcophaga peregrina,14922,13,22,2,37
Megalobrama amblycephala x Parabramis pekinensis,16623,13,22,2,37
Humphaplotropis culaishanensis (nomen nudum),15659,13,22,2,37
Coilia grayii,16851,13,22,2,37
Liachirus melanospilos,17001,13,22,2,37
Sus cebifrons,16473,13,22,2,37
Nematalosa nasus,16674,13,22,2,37
Drosophila santomea,16022,13,22,2,37
Amphiprion polymnus,16804,13,22,2,37
Amphilophus citrinellus,16522,13,22,2,37
Schizothorax prenanti,16587,13,22,2,37
Mesoplodon grayi,16347,13,22,2,37
Cairina moschata,16610,13,22,2,37
Nerthra indica,16079,13,22,2,37
Hydrometra greeni,15416,13,22,2,37
Myotis formosus,17159,13,22,2,37
Ichthyaetus relictus,16586,13,22,2,37
Phoxinus ujmonensis,17738,13,22,2,37
Lophius litulon,16431,13,22,2,37
Polymastia littoralis,21719,14,25,2,41
Cervus nippon kopschi,16429,13,22,2,37
Chiloscyllium punctatum,16703,13,22,2,37
Scoliodon macrorhynchos,16693,13,22,2,37
Cryptococcus neoformans var. grubii H99,24919,13,14,0,27
Magnusiomyces magnusii,42757,31,25,2,58
Epinephelus stictus,16524,13,22,2,37
Chanodichthys dabryi,16622,13,22,2,37
Erynnis montanus,15530,13,22,2,37
Nematalosa come,16644,13,22,2,37
Hippocampus histrix,16523,13,22,2,37
Micropercops swinhonis,16493,13,22,2,37
Quasipaa boulengeri,17741,13,23,2,38
Thraustotheca clavata,47382,41,30,4,75
Haplorchis taichui,15130,12,22,2,36
Spheniscus demersus,17346,13,22,2,37
Engaeus lengana,15934,13,22,2,37
Liobagrus marginatus,16497,13,22,2,37
Cherax monticola,15917,13,22,2,37
Pacris xizangensis,15622,13,22,2,37
Kingdonella bicollina,15630,13,22,2,37
Mekongiella kingdoni,15932,13,22,2,37
Petaurista alborufus,16507,13,22,2,37
Clarias batrachus,16511,13,22,2,37
Pangasius pangasius,16476,13,22,2,37
Poecilobdella manillensis,14470,13,22,2,37
Whitmania laevis,14433,13,22,2,37
Erpobdella octoculata,14407,13,22,2,37
Whitmania acranulata,14462,13,22,2,37
Massicus raddei,15858,13,22,2,37
Luehdorfia taibai,15553,13,22,2,37
Tetraogallus tibetanus,16692,13,22,2,37
Perdix hodgsoniae,16699,13,22,2,37
Clarias fuscus,16518,13,22,2,37
Margaritifera dahurica,16112,14,22,2,38
Perinereis aibuhitensis,15852,13,22,2,37
Dipturus chilensis,16909,13,22,2,37
Nobia grandis,15032,13,22,2,37
Ciconia nigra,17795,13,22,2,37
Cobitis elongatoides,16541,13,22,2,37
Carcharhinus amblyrhynchoides,16705,13,22,2,37
Amolops ricketti,17772,13,23,2,38
Blarinella quadraticauda,17014,13,22,2,37
Rhinobatos schlegelii,16780,13,22,2,37
Rexea solandri,16350,13,22,2,37
Selar crumenophthalmus,16610,13,22,2,37
Lanceolaria lanceolata,15782,13,22,2,37
Vulpes corsac,16721,13,22,2,37
Niviventer confucianus,16281,13,22,2,37
Cercopithecus mitis,16512,13,22,2,37
Allochrocebus lhoesti,16518,13,22,2,37
Cercopithecus diana,16505,13,22,2,37
Cercocebus torquatus,16542,13,22,2,37
Allenopithecus nigroviridis,16517,13,22,2,37
Amphiprion percula,16645,13,22,2,37
Amphiprion clarkii,16976,13,22,2,37
Carangoides malabaricus,16561,13,22,2,37
Aix galericulata,16605,13,22,2,37
Trachypithecus francoisi,16554,13,22,2,37
Trachypithecus cristatus,16557,13,22,2,37
Nemipterus japonicus,16995,13,22,2,37
Pseudaesopia japonica,16789,13,22,2,37
Pardachirus pavoninus,16537,13,22,2,37
Belligobio nummifer,16610,13,22,2,37
Hemibagrus guttatus,16528,13,22,2,37
Mastacembelus armatus,16486,13,22,2,37
Schizopyge dolichonema,16583,13,22,2,37
Saurida microlepis,16510,13,22,2,37
Egretta garzetta,17361,13,22,2,37
Amaurornis akool,16950,13,22,2,37
Rhigonema thysanophora,15015,12,22,2,36
Fasciola gigantica,14478,12,22,2,36
Trachinotus blochii,16558,13,22,2,37
Leptomantella albella,15534,13,22,2,37
Cherax crassimanus,15807,13,22,2,37
Equus przewalskii,16592,13,22,2,37
Salmo trutta,16677,13,22,2,37
Epinephelus tukula,16503,13,22,2,37
Pampus chinensis,16535,13,22,2,37
Cheirotonus jansoni,17249,13,22,2,37
Jaminaea angkorensis,29999,18,22,2,42
Pampus echinogaster,17694,13,23,2,38
Polyplectron germaini,16699,13,22,2,37
Mareca falcata,16601,13,22,2,37
Rhynchosporium agropyri,68904,47,29,2,78
Rhynchobrunnera orthospora,49539,27,29,2,58
Rhynchosporium secalis,68729,47,30,2,79
Macquaria australasica,16496,13,22,2,37
Lutraria rhynchaena,16927,12,22,2,36
Rhincodon typus,16875,13,22,2,37
Henosepilachna pusillanima,16216,13,22,2,37
Cobitis melanoleuca granoei,16636,13,22,2,37
Dipturus kwangtungensis,16912,13,22,2,37
Rhizoctonia solani,235849,127,26,2,155
Ascalohybris subjacens,15873,13,22,2,37
Trionyx triunguis,16590,13,22,2,37
Equus zebra hartmannae,16409,13,22,2,37
Equus hemionus kulan,16381,13,22,2,37
Equus ovodovi,16415,13,22,2,37
Magnusiomyces ingens,37684,22,25,2,49
Magnusiomyces tetraspermus,44469,30,25,2,57
Magnusiomyces capitatus,43486,24,25,2,51
Cecropis daurica,17949,13,22,2,37
Equus burchellii chapmani,16407,13,22,2,37
Lumbricus terrestris,14998,13,22,2,37
Cherax cainii,15801,13,22,2,37
Rhynchosporium commune,69581,46,29,2,77
Engaeus lyelli,16027,13,22,2,37
Squalus acanthias,16738,13,22,2,37
Poecilia reticulata,16538,13,22,2,37
Fringilla montifringilla,16807,13,22,2,37
Tarsius lariang,16965,13,22,2,37
Tarsius dentatus,16965,13,22,2,37
Tarsius wallacei,16957,13,22,2,37
Carcharhinus acronotus,16719,13,22,2,37
Bemisia afer,14968,13,22,2,37
Mogurnda adspersa,16523,13,22,2,37
Jacana spinosa,17079,13,22,2,37
Jacana jacana,16975,13,22,2,37
Siganus puellus,16504,13,22,2,37
Aquila chrysaetos,17332,13,22,2,37
Siganus guttatus,16505,13,22,2,37
Graphium mullah,15226,13,22,2,37
Maruca vitrata,15385,13,22,2,37
Cephalopholis sexmaculata,16589,13,22,2,37
Isurus paucus,16704,13,22,2,37
Gymnura poecilura,17874,13,22,2,37
